iso3,country,year,value
AFG,Afghanistan,2021,14.5879421234131
ALB,Albania,2021,41.1655084684252
DZA,Algeria,2021,38.7630996704102
AND,Andorra,2021,0.604573547840118
AGO,Angola,2021,174.090515136719
ATG,Antigua and Barbuda,2021,1.81939482688904
ARG,Argentina,2021,38.783332824707
ARM,Armenia,2021,148.241226196289
ABW,Aruba,2021,1.36395359039307
AUS,Australia,2021,1.395724
AUT,Austria,2021,0.72035
AZE,Azerbaijan,2021,0.457138150930405
BHS,"Bahamas, The",2021,0.977568686008453
BHR,Bahrain,2021,0.185745358467102
BGD,Bangladesh,2021,28.296688079834
BRB,Barbados,2021,2.38420343399048
BLR,Belarus,2021,0.688632726669312
BEL,Belgium,2021,0.719916
BLZ,Belize,2021,1.04862034320831
BEN,Benin,2021,211.106674194336
BMU,Bermuda,2021,1.22146320343018
BTN,Bhutan,2021,19.6103916168213
BOL,Bolivia,2021,2.473956823349
BIH,Bosnia and Herzegovina,2021,0.65969527895829
BWA,Botswana,2021,4.81988048553467
BRA,Brazil,2021,2.37927412986755
BRN,Brunei Darussalam,2021,0.532498598098755
BGR,Bulgaria,2021,0.35413555036835
BFA,Burkina Faso,2021,199.724746704102
BDI,Burundi,2021,609.599182128906
CPV,Cabo Verde,2021,48.1704940795898
KHM,Cambodia,2021,1426.95983886719
CMR,Cameroon,2021,193.458953857422
CAN,Canada,2021,1.163492
CYM,Cayman Islands,2021,0.971421658992767
CAF,Central African Republic,2021,241.880676269531
TCD,Chad,2021,215.510940551758
CHL,Chile,2021,423.013786
CHN,China,2021,3.98740887641907
COL,Colombia,2021,1340.326407
COM,Comoros,2021,191.480773925781
COD,"Congo, Dem. Rep.",2021,845.45068359375
COG,"Congo, Rep.",2021,222.775375366211
CRI,Costa Rica,2021,334.118676
CIV,Cote d'Ivoire,2021,225.288803100586
HRV,Croatia,2021,0.407277953564341
CUW,Curacao,2021,1.27898454666138
CYP,Cyprus,2021,0.584657651965893
CZE,Czechia,2021,12.56189
DNK,Denmark,2021,6.288268
DJI,Djibouti,2021,90.2278900146484
DMA,Dominica,2021,1.43059825897217
DOM,Dominican Republic,2021,22.1248188018799
ECU,Ecuador,2021,0.448739469051361
EGY,"Egypt, Arab Rep.",2021,3.8546199798584
SLV,El Salvador,2021,0.429484784603119
GNQ,Equatorial Guinea,2021,228.967514038086
ERI,Eritrea,2021,4.93847894668579
EST,Estonia,2021,0.5341
SWZ,Eswatini,2021,5.89536285400391
ETH,Ethiopia,2021,13.7311124801636
FRO,Faroe Islands,2021,6.37792730331421
FJI,Fiji,2021,0.910048425197601
FIN,Finland,2021,0.790539
FRA,France,2021,0.703945
GAB,Gabon,2021,244.922546386719
GMB,"Gambia, The",2021,14.7418222427368
GEO,Georgia,2021,0.865621149539948
DEU,Germany,2021,0.706697
GHA,Ghana,2021,2.14874577522278
GRC,Greece,2021,0.520812
GRL,Greenland,2021,5.2741265296936
GRD,Grenada,2021,1.69825077056885
GTM,Guatemala,2021,3.21316480636597
GIN,Guinea,2021,3108.34375
GNB,Guinea-Bissau,2021,203.716125488281
GUY,Guyana,2021,89.9150695800781
HTI,Haiti,2021,47.4995269775391
HND,Honduras,2021,10.5899238586426
HKG,"Hong Kong SAR, China",2021,5.87204074859619
HUN,Hungary,2021,148.351175
ISL,Iceland,2021,142.588157
IND,India,2021,20.7278957366943
IDN,Indonesia,2021,4808.42919921875
IRN,"Iran, Islamic Rep.",2021,50488.171875
IRQ,Iraq,2021,554.465393066406
IRL,Ireland,2021,0.751895
ISR,Israel,2021,3.657664
ITA,Italy,2021,0.625356
JAM,Jamaica,2021,81.3269805908203
JPN,Japan,2021,99.211289
JOR,Jordan,2021,0.323472499847412
KAZ,Kazakhstan,2021,129.063003540039
KEN,Kenya,2021,42.3316535949707
KIR,Kiribati,2021,0.97877842181364
KOR,"Korea, Rep.",2021,829.867766
XKX,Kosovo,2021,0.360406752216835
KWT,Kuwait,2021,0.202588081359863
KGZ,Kyrgyz Republic,2021,19.9189929962158
LAO,Lao PDR,2021,3031.69677734375
LVA,Latvia,2021,0.464112
LBN,Lebanon,2021,4099.5078125
LSO,Lesotho,2021,6.19413948059082
LBR,Liberia,2021,0.433967147111521
LBY,Libya,2021,1.76263952255249
LTU,Lithuania,2021,0.439956
LUX,Luxembourg,2021,0.834326
MAC,"Macao SAR, China",2021,4.89717441121879
MDG,Madagascar,2021,1173.85522460938
MWI,Malawi,2021,294.85791015625
MYS,Malaysia,2021,1.5147716999054
MDV,Maldives,2021,8.21066951751709
MLI,Mali,2021,203.722534179688
MLT,Malta,2021,0.566569294757016
MHL,Marshall Islands,2021,0.932999594999854
MRT,Mauritania,2021,12.035120010376
MUS,Mauritius,2021,16.6290760040283
MEX,Mexico,2021,10.060857
FSM,"Micronesia, Fed. Sts.",2021,0.886870916030328
MDA,Moldova,2021,5.94675874710083
MNG,Mongolia,2021,870.184753417969
MNE,Montenegro,2021,0.332482720892195
MAR,Morocco,2021,3.94628071784973
MOZ,Mozambique,2021,22.907154083252
MMR,Myanmar,2021,410.472595214844
NAM,Namibia,2021,6.71698379516602
NRU,Naoero,2021,1.41003609186483
NPL,Nepal,2021,32.4816780090332
NLD,Netherlands,2021,0.741535
NZL,New Zealand,2021,1.463664
NIC,Nicaragua,2021,10.564323425293
NER,Niger,2021,212.888137817383
NGA,Nigeria,2021,146.717681884766
MKD,North Macedonia,2021,17.9306733247551
NOR,Norway,2021,8.984704
OMN,Oman,2021,0.192684262990952
PAK,Pakistan,2021,43.4407234191895
PLW,Palau,2021,0.813348027157891
PAN,Panama,2021,0.501403868198395
PNG,Papua New Guinea,2021,2.30067387267731
PRY,Paraguay,2021,2628.08447265625
PER,Peru,2021,1.73354005813599
PHL,Philippines,2021,19.37526512146
POL,Poland,2021,1.752789
PRT,Portugal,2021,0.540472
PRI,Puerto Rico (US),2021,0.804228127002716
QAT,Qatar,2021,2.23547983169556
ROU,Romania,2021,1.65245949033591
RUS,Russian Federation,2021,23.6851463317871
RWA,Rwanda,2021,300.028503417969
