iso3,country,year,value
AFE,Africa Eastern and Southern,2021,11437.4781451472
AFW,Africa Western and Central,2021,14599.7180506159
ARB,Arab World,2021,64356.7196628332
CSS,Caribbean small states,2021,58621.8787053308
CEB,Central Europe and the Baltics,2021,86527.6312090268
EAR,Early-demographic dividend,2021,28849.460621097
EAS,East Asia & Pacific,2021,42720.3749088717
EAP,East Asia & Pacific (excluding high income),2021,35712.9958828535
TEA,East Asia & Pacific (IDA & IBRD countries),2021,35712.9958828535
EMU,Euro area,2021,120651.302402103
ECS,Europe & Central Asia,2021,96017.6995777784
ECA,Europe & Central Asia (excluding high income),2021,57815.5207608444
TEC,Europe & Central Asia (IDA & IBRD countries),2021,70306.8366154192
EUU,European Union,2021,115329.902374206
HPC,Heavily indebted poor countries (HIPC),2021,8513.81065909952
IBD,IBRD only,2021,37860.4531174021
IBT,IDA & IBRD total,2021,32091.5163159124
IDB,IDA blend,2021,17287.9294607678
IDX,IDA only,2021,11023.7468463392
IDA,IDA total,2021,13311.7826534838
LTE,Late-demographic dividend,2021,44591.6101566077
LCN,Latin America & Caribbean,2021,42953.6150728296
LAC,Latin America & Caribbean (excluding high income),2021,41161.8656886678
TLA,Latin America & the Caribbean (IDA & IBRD countries),2021,42600.7298999556
LDC,Least developed countries: UN classification,2021,10270.83523516
LMY,Low & middle income,2021,29980.3195904901
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2021,48924.9148920988
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2021,36270.3782333091
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2021,36308.4689256348
MIC,Middle income,2021,31979.241121517
NAC,North America,2021,145810.003436969
OED,OECD members,2021,110351.958380049
OSS,Other small states,2021,59949.816099999
PSS,Pacific island small states,2021,15643.8121581662
PST,Post-demographic dividend,2021,119584.419346919
PRE,Pre-demographic dividend,2021,12542.7519343072
SST,Small states,2021,54150.4947788764
SAS,South Asia,2021,21299.4663583484
TSA,South Asia (IDA & IBRD),2021,21299.4663583484
SSF,Sub-Saharan Africa,2021,12805.3494812278
SSA,Sub-Saharan Africa (excluding high income),2021,12805.3494812278
TSS,Sub-Saharan Africa (IDA & IBRD countries),2021,12805.3494812278
WLD,World,2021,47409.9214709267
AFG,Afghanistan,2021,10677.6454225309
ALB,Albania,2021,41715.2925817591
DZA,Algeria,2021,63250.6748129477
AGO,Angola,2021,24614.7634324856
ARG,Argentina,2021,62199.2099349718
ARM,Armenia,2021,38030.4789416765
AUS,Australia,2021,113808.531840373
AUT,Austria,2021,129644.635311475
AZE,Azerbaijan,2021,43720.5413265585
BHS,"Bahamas, The",2021,62022.1795518443
BHR,Bahrain,2021,100319.737847296
BGD,Bangladesh,2021,18166.5905913176
BRB,Barbados,2021,38805.7372584942
BLR,Belarus,2021,54118.3900627957
BEL,Belgium,2021,143705.694905106
BLZ,Belize,2021,30188.1080821141
BEN,Benin,2021,8053.28260450002
BTN,Bhutan,2021,26460.1763886693
BOL,Bolivia,2021,21923.1635801049
BIH,Bosnia and Herzegovina,2021,52049.4577831621
BWA,Botswana,2021,54141.6906888199
BRA,Brazil,2021,41904.8315182294
BRN,Brunei Darussalam,2021,163716.818760828
BGR,Bulgaria,2021,68917.2850596136
BFA,Burkina Faso,2021,6231.15161967864
BDI,Burundi,2021,2468.19798832288
CPV,Cabo Verde,2021,22885.8042493684
KHM,Cambodia,2021,11356.7801844852
CMR,Cameroon,2021,13249.7844554751
CAN,Canada,2021,112202.121182965
CAF,Central African Republic,2021,3265.9248751727
TCD,Chad,2021,7965.47291681218
CHL,Chile,2021,68065.6464782789
CHN,China,2021,39480.6030794518
COL,Colombia,2021,39876.7885971864
COM,Comoros,2021,10542.6041870862
COD,"Congo, Dem. Rep.",2021,4317.43026021784
COG,"Congo, Rep.",2021,20957.553893758
CRI,Costa Rica,2021,57647.9358503058
CIV,Cote d'Ivoire,2021,16154.729364062
HRV,Croatia,2021,89588.8596245138
CYP,Cyprus,2021,64553.8366636181
CZE,Czechia,2021,98551.0843875464
DNK,Denmark,2021,139015.668698768
DJI,Djibouti,2021,37279.4933517092
DOM,Dominican Republic,2021,52122.1489242308
ECU,Ecuador,2021,29089.9519944508
EGY,"Egypt, Arab Rep.",2021,58608.2012342448
SLV,El Salvador,2021,25801.768687886
GNQ,Equatorial Guinea,2021,51454.7137110205
EST,Estonia,2021,89259.7903468416
SWZ,Eswatini,2021,46468.6608438366
ETH,Ethiopia,2021,6586.67546464402
FJI,Fiji,2021,27779.3758787253
FIN,Finland,2021,121651.790149241
FRA,France,2021,123998.870932207
GAB,Gabon,2021,76713.2017596449
GMB,"Gambia, The",2021,10650.7960442423
GEO,Georgia,2021,44589.9495168103
DEU,Germany,2021,124873.256541338
GHA,Ghana,2021,17906.6141746011
GRC,Greece,2021,90786.8946661802
GTM,Guatemala,2021,28780.5548674922
GIN,Guinea,2021,12976.6801918916
GNB,Guinea-Bissau,2021,6813.3635633952
GUY,Guyana,2021,74112.9812154443
HTI,Haiti,2021,8268.33173937044
HND,Honduras,2021,16374.2883552297
HKG,"Hong Kong SAR, China",2021,133018.795978632
HUN,Hungary,2021,80222.8495391912
ISL,Iceland,2021,111724.100042822
IND,India,2021,21460.2691959796
IDN,Indonesia,2021,27058.2834906026
IRN,"Iran, Islamic Rep.",2021,55804.3809392183
IRQ,Iraq,2021,61825.4249898297
IRL,Ireland,2021,244556.553641149
ISR,Israel,2021,106265.957071624
ITA,Italy,2021,130053.456175498
JAM,Jamaica,2021,20945.6315066331
JPN,Japan,2021,86719.9475102575
JOR,Jordan,2021,47984.2906913096
KAZ,Kazakhstan,2021,71330.2255758295
KEN,Kenya,2021,13686.6818425967
KOR,"Korea, Rep.",2021,97284.8428897318
KWT,Kuwait,2021,92549.1637757358
KGZ,Kyrgyz Republic,2021,15294.6337361625
LAO,Lao PDR,2021,18580.8683183627
LVA,Latvia,2021,79090.3958274739
LBN,Lebanon,2021,40326.4663521251
LSO,Lesotho,2021,8506.29938597242
LBR,Liberia,2021,3551.37229706779
LBY,Libya,2021,48825.9416288933
LTU,Lithuania,2021,93426.5590611654
LUX,Luxembourg,2021,280240.207430893
MAC,"Macao SAR, China",2021,127203.699480089
MDG,Madagascar,2021,3211.11690014008
MWI,Malawi,2021,4946.31740491167
MYS,Malaysia,2021,62214.0306927762
MDV,Maldives,2021,42346.5084417793
MLI,Mali,2021,8236.96645760423
MLT,Malta,2021,109014.734014255
MRT,Mauritania,2021,28615.6025441731
MUS,Mauritius,2021,56372.378060821
MEX,Mexico,2021,48605.8099837259
MDA,Moldova,2021,27300.2938737886
MNG,Mongolia,2021,39111.6286542147
MNE,Montenegro,2021,72396.2398039372
MAR,Morocco,2021,29483.3071492389
MOZ,Mozambique,2021,3592.98606306501
MMR,Myanmar,2021,13066.7803993776
NAM,Namibia,2021,34703.4206784213
NPL,Nepal,2021,18559.4383798532
NLD,Netherlands,2021,127311.810597457
NZL,New Zealand,2021,87700.5663812161
NIC,Nicaragua,2021,16605.7441564348
NER,Niger,2021,3998.65260901731
NGA,Nigeria,2021,17376.1807849236
MKD,North Macedonia,2021,61552.4137050207
NOR,Norway,2021,176824.554282653
OMN,Oman,2021,81866.6876707779
PAK,Pakistan,2021,17411.9769187741
PAN,Panama,2021,74146.6291634076
PNG,Papua New Guinea,2021,12102.037189626
PRY,Paraguay,2021,32550.0274775559
PER,Peru,2021,29912.1650583707
PHL,Philippines,2021,23200.7138914669
POL,Poland,2021,85539.6948432308
PRT,Portugal,2021,83953.0055477798
PRI,Puerto Rico (US),2021,122345.779847529
QAT,Qatar,2021,160399.90137503
ROU,Romania,2021,90312.7755002132
RUS,Russian Federation,2021,80919.062823057
RWA,Rwanda,2021,9231.04296251333
WSM,Samoa,2021,24351.5265127668
STP,Sao Tome and Principe,2021,44843.510744273
SAU,Saudi Arabia,2021,141331.550630386
SEN,Senegal,2021,13883.4554922451
SRB,Serbia,2021,53929.8089053533
SLE,Sierra Leone,2021,9094.08626790179
SGP,Singapore,2021,226321.530946985
SVK,Slovak Republic,2021,81338.8479848963
SVN,Slovenia,2021,97338.6107781931
SLB,Solomon Islands,2021,4758.61258137974
SOM,"Somalia, Fed. Rep.",2021,9684.72649880016
ZAF,South Africa,2021,54304.1684288751
ESP,Spain,2021,105480.455434457
LKA,Sri Lanka,2021,39270.6983832139
LCA,St. Lucia,2021,45085.2719765414
VCT,St. Vincent and the Grenadines,2021,39103.3773315739
SDN,Sudan,2021,16197.4562157449
SUR,Suriname,2021,51693.8670148933
SWE,Sweden,2021,129037.123728179
CHE,Switzerland,2021,152866.933464884
SYR,Syrian Arab Republic,2021,23123.2871861623
TJK,Tajikistan,2021,18358.2870125621
TZA,Tanzania,2021,7248.51600925229
THA,Thailand,2021,36335.2883323061
TLS,Timor-Leste,2021,16285.0416246527
TGO,Togo,2021,8900.50183160307
TON,Tonga,2021,21183.7884210066
TTO,Trinidad and Tobago,2021,67953.8204750095
TUN,Tunisia,2021,43981.9659373785
TUR,Turkiye,2021,91634.5087235411
TKM,Turkmenistan,2021,59602.0372806805
UGA,Uganda,2021,6342.84785673134
UKR,Ukraine,2021,40308.3359337474
ARE,United Arab Emirates,2021,110017.442767849
GBR,United Kingdom,2021,107011.545302469
USA,United States,2021,149935.540213683
URY,Uruguay,2021,64064.6130116691
UZB,Uzbekistan,2021,26215.3414438402
VUT,Vanuatu,2021,10467.4045977178
VNM,Viet Nam,2021,22082.4320174116
VIR,Virgin Islands (U.S.),2021,121206.545571773
PSE,West Bank and Gaza,2021,29095.4811616882
ZMB,Zambia,2021,10766.4463114632
ZWE,Zimbabwe,2021,14037.1987018561
